# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.776261 0.285376 0.149095 0.544539 0.460257 0.460257
0.836191 0.268453 0.056396 0.777154 0.750781 0.293689
0.932054 0.246068 0.150685 0.541861 0.710540 0.308415
0.629520 0.341597 0.076955 0.703448 0.459758 0.459758
0.711226 0.307185 0.171942 0.491420 0.460211 0.460211
0.733273 0.299326 0.188840 0.466253 0.527464 0.403110
0.906775 0.251500 0.140565 0.563087 0.645758 0.335089
0.755609 0.291866 0.126727 0.586862 0.460121 0.460121
0.771051 0.286979 0.121192 0.599008 0.460130 0.460130
0.727321 0.301397 0.040025 0.845888 0.667611 0.324572
0.829017 0.270344 0.077478 0.707961 0.710479 0.307864
0.743724 0.295776 0.051797 0.793437 0.645743 0.334277
0.887606 0.255829 0.014921 0.963635 0.879269 0.257800
0.884332 0.256588 0.109378 0.625168 0.645279 0.335048
0.938295 0.244773 0.159580 0.524877 0.731502 0.300919
0.928061 0.246906 0.164080 0.515654 0.730935 0.301106
0.699418 0.311615 0.024410 0.918621 0.667709 0.324435
0.888729 0.255570 0.120400 0.603035 0.594946 0.360433
0.939041 0.244620 0.105103 0.634463 0.711048 0.307979
0.801540 0.277913 0.092782 0.665487 0.594488 0.360318
0.613806 0.349387 0.094289 0.637970 0.459786 0.459786
0.785099 0.282709 0.126543 0.589331 0.460166 0.460166
0.903375 0.252254 0.185133 0.472949 0.750110 0.294582
0.953186 0.241752 0.081537 0.693950 0.807509 0.276641
0.789019 0.281546 0.011073 0.980709 0.788614 0.281679
0.883677 0.256741 0.157707 0.528100 0.668176 0.325232
0.837831 0.268026 0.057461 0.770108 0.769617 0.287646
0.478156 0.441672 0.090070 0.549543 0.459623 0.459623
0.921715 0.248253 0.060782 0.762370 0.844360 0.266569
0.716915 0.305107 0.105280 0.631122 0.459976 0.459976
0.536447 0.395384 0.124762 0.489741 0.459731 0.459731
0.892763 0.254646 0.155355 0.533876 0.667724 0.325435
0.585677 0.364512 0.137248 0.495934 0.459849 0.459849
0.656936 0.328998 0.050185 0.801939 0.565620 0.376622
0.630646 0.341056 0.009219 0.986710 0.621718 0.345433
0.576488 0.369817 0.135363 0.495927 0.459822 0.459822
0.648927 0.332556 0.008694 0.980997 0.645371 0.334175
0.732260 0.299676 0.023285 0.918673 0.711047 0.307317
0.505579 0.418332 0.120773 0.478931 0.459695 0.459695
0.836206 0.268449 0.038186 0.852402 0.807633 0.276289
